000000 0.334 0.332487 0.333981
000500 0.000 0.680425 0.319575
001000 0.000 0.680631 0.319369
001500 0.000 0.679681 0.320319
002000 0.000 0.682137 0.317862
002500 0.000 0.680656 0.319344
003000 0.000 0.678694 0.321306
003500 0.000 0.675212 0.324788
004000 0.000 0.678981 0.321019
004500 0.000 0.680231 0.319769
005000 0.000 0.679069 0.320931
005500 0.000 0.679638 0.320362
006000 0.000 0.678456 0.321544
006500 0.000 0.678394 0.321606
007000 0.000 0.675431 0.324569
007500 0.000 0.678400 0.321600
008000 0.000 0.677881 0.322119
008500 0.000 0.679606 0.320394
009000 0.000 0.679194 0.320806
009500 0.000 0.677638 0.322362
010000 0.000 0.677619 0.322381
