000000 0.333 0.333200 0.333544
000500 0.546 0.240025 0.213769
001000 0.505 0.247450 0.247663
001500 0.480 0.253406 0.266937
002000 0.507 0.256906 0.235631
002500 0.495 0.268494 0.236294
003000 0.524 0.246381 0.229325
003500 0.469 0.275794 0.255044
004000 0.519 0.251931 0.229219
004500 0.492 0.260350 0.247381
005000 0.493 0.264244 0.242438
005500 0.536 0.245925 0.217800
006000 0.528 0.226763 0.245012
006500 0.466 0.274456 0.259350
007000 0.486 0.261113 0.252987
007500 0.502 0.260506 0.237369
008000 0.511 0.249750 0.239675
008500 0.501 0.264781 0.233887
009000 0.495 0.265969 0.239187
009500 0.477 0.245663 0.277137
010000 0.489 0.263706 0.247544
