000000 0.333 0.332575 0.334050
000500 0.000 0.247225 0.752775
001000 0.000 0.244475 0.755525
001500 0.000 0.245700 0.754300
002000 0.000 0.232425 0.767575
002500 0.000 0.234675 0.765325
003000 0.000 0.236900 0.763100
003500 0.000 0.245950 0.754050
004000 0.000 0.246825 0.753175
004500 0.000 0.238925 0.761075
005000 0.000 0.242850 0.757150
005500 0.000 0.245825 0.754175
006000 0.000 0.242525 0.757475
006500 0.000 0.247050 0.752950
007000 0.000 0.239575 0.760425
007500 0.000 0.243600 0.756400
008000 0.000 0.236750 0.763250
008500 0.000 0.263850 0.736150
009000 0.000 0.245450 0.754550
009500 0.000 0.248650 0.751350
010000 0.000 0.235075 0.764925
